trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
48,0,48,0,98.71630970016122,,98.69335229997523,98.71630970016122,99.69941290002316,99.71973180002533,100.0703684000764,up,1,0.34670550003647804,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
49,0,49,0,100.11607590015046,,100.08567510009743,100.11607590015046,101.09923890000209,101.11932749999687,101.39372549997643,up,0,0.2779538999311626,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
50,0,50,0,101.44856590009294,,101.41643740003929,101.44856590009294,102.43207300012,102.45464310003445,102.72062869998626,up,0,0.28328999993391335,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
51,0,51,0,102.76390879997052,,102.73474540002644,102.76390879997052,103.73653810005635,103.78495140001178,104.00367380003445,up,1,0.25024030008353293,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
52,0,52,0,104.04827220016159,,104.01788539998233,104.04827220016159,105.04813969996758,105.06929620006122,105.30960220005363,up,0,0.24322969978675246,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
53,0,53,0,105.34786850004457,,105.32335690013133,105.34786850004457,106.34898370015435,106.36780360015109,106.92478310014121,up,1,0.5668333999346942,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
54,0,54,0,106.96484050014988,,106.94369950005785,106.96484050014988,107.96496880007908,107.98544730013236,108.67279670014977,up,0,0.7005032999441028,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
55,0,55,0,108.71495779999532,,108.6911708000116,108.71495779999532,109.69781150016934,109.71515880012885,110.34037510002963,up,0,0.6324881000909954,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
56,0,56,0,110.38123319996521,,110.36229120008647,110.38123319996521,111.38078260002658,111.40033860015683,111.58994229999371,up,1,0.20330509985797107,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
57,0,57,0,111.62977090012282,,111.60764580010436,111.62977090012282,112.63064510002732,112.64941560011357,112.99226840003394,up,1,0.352631599875167,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
58,0,58,0,113.0474274000153,,113.01558190002106,113.0474274000153,114.01696510007605,114.06528670014814,114.52245000004768,up,1,0.4938899001572281,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
59,0,59,0,114.56386040011421,,114.53560660011135,114.56386040011421,115.56473179999739,115.58321469998918,115.99060190003365,up,1,0.4172919997945428,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
60,0,60,0,116.03002459998243,,116.0058410000056,116.03002459998243,117.01419600006193,117.03148710005917,117.33493620017543,up,1,0.30444570002146065,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
61,0,61,0,117.36229910003021,,117.34667950007133,117.36229910003021,118.36327169998549,118.38198349997401,118.65644540009089,up,1,0.28518190002068877,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
